# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: 4HK1-V2C-W  (4HK1-TC recalibrated: 750 Nm @ 1,400 rpm, 132 kW continuous)
# displacement_l: 5.193, eta_i0: 0.448, fmep_bar(a0,a1,a2): (0.75, 0.28, 0.075), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
750,340.5467,215.3
750,350.5333,214.7
750,360.5200,214.1
750,370.5067,213.5
750,380.4933,212.9
750,390.4800,212.4
750,400.4667,211.9
750,410.4533,211.4
750,420.4400,210.9
750,430.4267,210.5
750,440.4133,210.1
750,450.4000,209.7
750,460.3867,209.3
750,470.3733,210.1
750,480.3600,211.1
750,490.3467,212.1
750,500.3333,213.2
750,510.3200,214.3
750,520.3067,215.4
750,530.2933,216.5
750,540.2800,217.7
775,1.0000,8641.3
775,10.9867,967.9
775,20.9733,601.7
775,30.9600,471.4
775,40.9467,404.5
775,50.9333,363.7
775,60.9200,336.1
775,70.9067,316.2
775,80.8933,301.1
775,90.8800,289.2
775,100.8667,279.6
775,110.8533,271.6
775,120.8400,264.9
775,130.8267,259.2
775,140.8133,254.2
775,150.8000,249.9
775,160.7867,246.0
775,170.7733,242.5
775,180.7600,239.4
775,190.7467,236.6
775,200.7333,234.0
775,210.7200,231.6
775,220.7067,229.4
775,230.6933,227.4
775,240.6800,225.5
775,250.6667,223.7
775,260.6533,222.5
775,270.6400,221.4
775,280.6267,220.3
775,290.6133,219.3
775,300.6000,218.4
775,310.5867,217.6
775,320.5733,216.8
775,330.5600,216.0
775,340.5467,215.3
775,350.5333,214.6
775,360.5200,214.0
775,370.5067,213.4
775,380.4933,212.8
775,390.4800,212.3
775,400.4667,211.8
775,410.4533,211.3
775,420.4400,210.8
775,430.4267,210.4
775,440.4133,210.0
775,450.4000,209.6
775,460.3867,209.2
775,470.3733,208.8
775,480.3600,209.6
775,490.3467,210.6
775,500.3333,211.6
775,510.3200,212.6
775,520.3067,213.7
775,530.2933,214.8
775,540.2800,215.9
775,550.2667,217.1
800,1.0000,8713.3
800,10.9867,974.3
800,20.9733,604.9
800,30.9600,473.5
800,40.9467,406.1
800,50.9333,364.9
800,60.9200,337.1
800,70.9067,317.0
800,80.8933,301.8
800,90.8800,289.8
800,100.8667,280.2
800,110.8533,272.2
800,120.8400,265.4
800,130.8267,259.6
800,140.8133,254.6
800,150.8000,250.2
800,160.7867,246.4
800,170.7733,242.9
800,180.7600,239.7
800,190.7467,236.9
800,200.7333,234.3
800,210.7200,231.9
800,220.7067,229.7
800,230.6933,227.6
800,240.6800,225.7
800,250.6667,224.0
800,260.6533,222.5
800,270.6400,221.4
800,280.6267,220.3
800,290.6133,219.3
800,300.6000,218.4
800,310.5867,217.5
800,320.5733,216.7
800,330.5600,216.0
800,340.5467,215.3
800,350.5333,214.6
800,360.5200,213.9
800,370.5067,213.3
800,380.4933,212.8
800,390.4800,212.2
800,400.4667,211.7
800,410.4533,211.2
800,420.4400,210.7
800,430.4267,210.3
800,440.4133,209.9
800,450.4000,209.5
800,460.3867,209.1
800,470.3733,208.7
800,480.3600,208.3
800,490.3467,209.1
800,500.3333,210.1
800,510.3200,211.1
800,520.3067,212.1
800,530.2933,213.2
800,540.2800,214.2
800,550.2667,215.3
800,560.2533,216.4
825,1.0000,8786.2
825,10.9867,980.7
825,20.9733,608.2
825,30.9600,475.7
825,40.9467,407.7
825,50.9333,366.1
825,60.9200,338.1
825,70.9067,317.9
825,80.8933,302.5
825,90.8800,290.5
825,100.8667,280.7
825,110.8533,272.7
825,120.8400,265.9
825,130.8267,260.1
825,140.8133,255.0
825,150.8000,250.6
825,160.7867,246.7
825,170.7733,243.2
825,180.7600,240.1
825,190.7467,237.2
825,200.7333,234.6
825,210.7200,232.2
825,220.7067,230.0
825,230.6933,227.9
825,240.6800,226.0
825,250.6667,224.2
825,260.6533,222.6
825,270.6400,221.4
825,280.6267,220.3
825,290.6133,219.3
825,300.6000,218.4
825,310.5867,217.5
825,320.5733,216.7
825,330.5600,215.9
825,340.5467,215.2
825,350.5333,214.5
825,360.5200,213.9
825,370.5067,213.3
825,380.4933,212.7
825,390.4800,212.2
825,400.4667,211.6
825,410.4533,211.1
825,420.4400,210.7
825,430.4267,210.2
825,440.4133,209.8
825,450.4000,209.4
825,460.3867,209.0
825,470.3733,208.6
825,480.3600,208.2
825,490.3467,207.9
825,500.3333,208.7
825,510.3200,209.6
825,520.3067,210.6
825,530.2933,211.6
825,540.2800,212.6
825,550.2667,213.7
825,560.2533,214.8
825,570.2400,215.8
850,1.0000,8860.1
850,10.9867,987.2
850,20.9733,611.5
850,30.9600,477.9
850,40.9467,409.3
850,50.9333,367.4
850,60.9200,339.2
850,70.9067,318.8
850,80.8933,303.3
850,90.8800,291.1
850,100.8667,281.3
850,110.8533,273.2
850,120.8400,266.4
850,130.8267,260.5
850,140.8133,255.5
850,150.8000,251.0
850,160.7867,247.1
850,170.7733,243.6
850,180.7600,240.4
850,190.7467,237.5
850,200.7333,234.9
850,210.7200,232.5
850,220.7067,230.3
850,230.6933,228.2
850,240.6800,226.3
850,250.6667,224.5
850,260.6533,222.8
850,270.6400,221.4
850,280.6267,220.4
850,290.6133,219.4
850,300.6000,218.4
850,310.5867,217.5
850,320.5733,216.7
850,330.5600,215.9
850,340.5467,215.2
850,350.5333,214.5
850,360.5200,213.9
850,370.5067,213.2
850,380.4933,212.7
850,390.4800,212.1
850,400.4667,211.6
850,410.4533,211.1
850,420.4400,210.6
850,430.4267,210.2
850,440.4133,209.7
850,450.4000,209.3
850,460.3867,208.9
850,470.3733,208.5
850,480.3600,208.2
850,490.3467,207.8
850,500.3333,207.5
850,510.3200,208.3
850,520.3067,209.2
850,530.2933,210.1
850,540.2800,211.1
850,550.2667,212.1
850,560.2533,213.2
850,570.2400,214.2
850,580.2267,215.3
875,1.0000,8934.9
875,10.9867,993.9
875,20.9733,614.9
875,30.9600,480.1
875,40.9467,410.9
875,50.9333,368.7
875,60.9200,340.2
875,70.9067,319.7
875,80.8933,304.1
875,90.8800,291.8
875,100.8667,281.9
875,110.8533,273.8
875,120.8400,266.9
875,130.8267,261.0
875,140.8133,255.9
875,150.8000,251.4
875,160.7867,247.5
875,170.7733,243.9
875,180.7600,240.7
875,190.7467,237.8
875,200.7333,235.2
875,210.7200,232.8
875,220.7067,230.6
875,230.6933,228.5
875,240.6800,226.6
875,250.6667,224.8
875,260.6533,223.1
875,270.6400,221.5
875,280.6267,220.4
875,290.6133,219.4
875,300.6000,218.4
875,310.5867,217.5
875,320.5733,216.7
875,330.5600,215.9
875,340.5467,215.2
875,350.5333,214.5
875,360.5200,213.8
875,370.5067,213.2
875,380.4933,212.6
875,390.4800,212.1
875,400.4667,211.5
875,410.4533,211.0
875,420.4400,210.6
875,430.4267,210.1
875,440.4133,209.7
875,450.4000,209.2
875,460.3867,208.8
875,470.3733,208.5
875,480.3600,208.1
875,490.3467,207.7
875,500.3333,207.4
875,510.3200,207.1
875,520.3067,207.8
875,530.2933,208.8
875,540.2800,209.7
875,550.2667,210.7
875,560.2533,211.6
875,570.2400,212.7
875,580.2267,213.7
875,590.2133,214.7
875,600.2000,215.8
900,1.0000,9010.6
900,10.9867,1000.6
900,20.9733,618.3
900,30.9600,482.4
900,40.9467,412.6
900,50.9333,370.1
900,60.9200,341.3
900,70.9067,320.6
900,80.8933,304.9
900,90.8800,292.5
900,100.8667,282.6
900,110.8533,274.3
900,120.8400,267.4
900,130.8267,261.5
900,140.8133,256.3
900,150.8000,251.8
900,160.7867,247.8
900,170.7733,244.3
900,180.7600,241.1
900,190.7467,238.2
900,200.7333,235.5
900,210.7200,233.1
900,220.7067,230.9
900,230.6933,228.8
900,240.6800,226.8
900,250.6667,225.0
900,260.6533,223.3
900,270.6400,221.8
900,280.6267,220.4
900,290.6133,219.4
900,300.6000,218.5
900,310.5867,217.6
900,320.5733,216.7
900,330.5600,215.9
900,340.5467,215.2
900,350.5333,214.5
900,360.5200,213.8
900,370.5067,213.2
900,380.4933,212.6
900,390.4800,212.0
900,400.4667,211.5
900,410.4533,211.0
900,420.4400,210.5
900,430.4267,210.1
900,440.4133,209.6
900,450.4000,209.2
900,460.3867,208.8
900,470.3733,208.4
900,480.3600,208.0
900,490.3467,207.7
900,500.3333,207.3
900,510.3200,207.0
900,520.3067,206.7
900,530.2933,207.5
900,540.2800,208.4
900,550.2667,209.3
900,560.2533,210.2
900,570.2400,211.2
900,580.2267,212.2
900,590.2133,213.2
900,600.2000,214.2
900,610.1867,215.2
925,1.0000,9087.4
925,10.9867,1007.4
925,20.9733,621.8
925,30.9600,484.7
925,40.9467,414.3
925,50.9333,371.4
925,60.9200,342.4
925,70.9067,321.5
925,80.8933,305.7
925,90.8800,293.2
925,100.8667,283.2
925,110.8533,274.9
925,120.8400,267.9
925,130.8267,262.0
925,140.8133,256.8
925,150.8000,252.3
925,160.7867,248.2
925,170.7733,244.7
925,180.7600,241.4
925,190.7467,238.5
925,200.7333,235.8
925,210.7200,233.4
925,220.7067,231.2
925,230.6933,229.1
925,240.6800,227.1
925,250.6667,225.3
925,260.6533,223.6
925,270.6400,222.0
925,280.6267,220.5
925,290.6133,219.5
925,300.6000,218.5
925,310.5867,217.6
925,320.5733,216.7
925,330.5600,216.0
925,340.5467,215.2
925,350.5333,214.5
925,360.5200,213.8
925,370.5067,213.2
925,380.4933,212.6
925,390.4800,212.0
925,400.4667,211.5
925,410.4533,211.0
925,420.4400,210.5
925,430.4267,210.0
925,440.4133,209.6
925,450.4000,209.2
925,460.3867,208.7
925,470.3733,208.4
925,480.3600,208.0
925,490.3467,207.6
925,500.3333,207.3
925,510.3200,207.0
925,520.3067,206.6
925,530.2933,206.3
925,540.2800,207.1
925,550.2667,208.0
925,560.2533,208.9
925,570.2400,209.8
925,580.2267,210.7
925,590.2133,211.7
925,600.2000,212.7
925,610.1867,213.7
925,620.1733,214.7
950,1.0000,9165.0
950,10.9867,1014.3
950,20.9733,625.3
950,30.9600,487.1
950,40.9467,416.1
950,50.9333,372.8
950,60.9200,343.6
950,70.9067,322.5
950,80.8933,306.5
950,90.8800,294.0
950,100.8667,283.9
950,110.8533,275.5
950,120.8400,268.5
950,130.8267,262.5
950,140.8133,257.2
950,150.8000,252.7
950,160.7867,248.6
950,170.7733,245.0
950,180.7600,241.8
950,190.7467,238.9
950,200.7333,236.2
950,210.7200,233.7
950,220.7067,231.5
950,230.6933,229.4
950,240.6800,227.4
950,250.6667,225.6
950,260.6533,223.9
950,270.6400,222.3
950,280.6267,220.8
950,290.6133,219.5
950,300.6000,218.5
950,310.5867,217.6
950,320.5733,216.8
950,330.5600,216.0
950,340.5467,215.2
950,350.5333,214.5
950,360.5200,213.8
950,370.5067,213.2
950,380.4933,212.6
950,390.4800,212.0
950,400.4667,211.5
950,410.4533,211.0
950,420.4400,210.5
950,430.4267,210.0
950,440.4133,209.6
950,450.4000,209.1
950,460.3867,208.7
950,470.3733,208.3
950,480.3600,207.9
950,490.3467,207.6
950,500.3333,207.2
950,510.3200,206.9
950,520.3067,206.6
950,530.2933,206.3
950,540.2800,206.0
950,550.2667,206.7
950,560.2533,207.6
950,570.2400,208.5
950,580.2267,209.4
950,590.2133,210.3
950,600.2000,211.3
950,610.1867,212.2
950,620.1733,213.2
950,630.1600,214.2
975,1.0000,9243.7
975,10.9867,1021.3
975,20.9733,628.9
975,30.9600,489.5
975,40.9467,417.8
975,50.9333,374.2
975,60.9200,344.7
975,70.9067,323.5
975,80.8933,307.4
975,90.8800,294.7
975,100.8667,284.5
975,110.8533,276.1
975,120.8400,269.0
975,130.8267,263.0
975,140.8133,257.7
975,150.8000,253.1
975,160.7867,249.1
975,170.7733,245.4
975,180.7600,242.2
975,190.7467,239.2
975,200.7333,236.5
975,210.7200,234.1
975,220.7067,231.8
975,230.6933,229.7
975,240.6800,227.7
975,250.6667,225.9
975,260.6533,224.2
975,270.6400,222.6
975,280.6267,221.1
975,290.6133,219.6
975,300.6000,218.6
975,310.5867,217.7
975,320.5733,216.8
975,330.5600,216.0
975,340.5467,215.3
975,350.5333,214.5
975,360.5200,213.9
975,370.5067,213.2
975,380.4933,212.6
975,390.4800,212.0
975,400.4667,211.5
975,410.4533,211.0
975,420.4400,210.5
975,430.4267,210.0
975,440.4133,209.5
975,450.4000,209.1
975,460.3867,208.7
975,470.3733,208.3
975,480.3600,207.9
975,490.3467,207.5
975,500.3333,207.2
975,510.3200,206.9
975,520.3067,206.5
975,530.2933,206.2
975,540.2800,205.9
975,550.2667,205.6
975,560.2533,206.4
975,570.2400,207.2
975,580.2267,208.1
975,590.2133,209.0
975,600.2000,209.9
975,610.1867,210.8
975,620.1733,211.8
975,630.1600,212.7
975,640.1467,213.7
1000,1.0000,9323.3
1000,10.9867,1028.4
1000,20.9733,632.6
1000,30.9600,491.9
1000,40.9467,419.6
1000,50.9333,375.6
1000,60.9200,345.9
1000,70.9067,324.4
1000,80.8933,308.2
1000,90.8800,295.5
1000,100.8667,285.2
1000,110.8533,276.7
1000,120.8400,269.6
1000,130.8267,263.5
1000,140.8133,258.2
1000,150.8000,253.6
1000,160.7867,249.5
1000,170.7733,245.8
1000,180.7600,242.5
1000,190.7467,239.6
1000,200.7333,236.9
1000,210.7200,234.4
1000,220.7067,232.1
1000,230.6933,230.0
1000,240.6800,228.0
1000,250.6667,226.2
1000,260.6533,224.5
1000,270.6400,222.9
1000,280.6267,221.3
1000,290.6133,219.9
1000,300.6000,218.7
1000,310.5867,217.8
1000,320.5733,216.9
1000,330.5600,216.1
1000,340.5467,215.3
1000,350.5333,214.6
1000,360.5200,213.9
1000,370.5067,213.2
1000,380.4933,212.6
1000,390.4800,212.0
1000,400.4667,211.5
1000,410.4533,211.0
1000,420.4400,210.5
1000,430.4267,210.0
1000,440.4133,209.5
1000,450.4000,209.1
1000,460.3867,208.7
1000,470.3733,208.3
1000,480.3600,207.9
1000,490.3467,207.5
1000,500.3333,207.2
1000,510.3200,206.8
1000,520.3067,206.5
1000,530.2933,206.2
1000,540.2800,205.9
1000,550.2667,205.6
1000,560.2533,205.3
1000,570.2400,206.1
1000,580.2267,206.9
1000,590.2133,207.7
1000,600.2000,208.6
1000,610.1867,209.5
1000,620.1733,210.4
1000,630.1600,211.4
1000,640.1467,212.3
1000,650.1333,213.3
1025,1.0000,9404.0
1025,10.9867,1035.6
1025,20.9733,636.3
1025,30.9600,494.3
1025,40.9467,421.5
1025,50.9333,377.0
1025,60.9200,347.1
1025,70.9067,325.4
1025,80.8933,309.1
1025,90.8800,296.2
1025,100.8667,285.9
1025,110.8533,277.3
1025,120.8400,270.1
1025,130.8267,264.0
1025,140.8133,258.7
1025,150.8000,254.0
1025,160.7867,249.9
1025,170.7733,246.2
1025,180.7600,242.9
1025,190.7467,239.9
1025,200.7333,237.2
1025,210.7200,234.7
1025,220.7067,232.4
1025,230.6933,230.3
1025,240.6800,228.3
1025,250.6667,226.5
1025,260.6533,224.7
1025,270.6400,223.1
1025,280.6267,221.6
1025,290.6133,220.1
1025,300.6000,218.8
1025,310.5867,217.8
1025,320.5733,217.0
1025,330.5600,216.1
1025,340.5467,215.4
1025,350.5333,214.6
1025,360.5200,213.9
1025,370.5067,213.3
1025,380.4933,212.7
1025,390.4800,212.1
1025,400.4667,211.5
1025,410.4533,211.0
1025,420.4400,210.5
1025,430.4267,210.0
1025,440.4133,209.5
1025,450.4000,209.1
1025,460.3867,208.7
1025,470.3733,208.3
1025,480.3600,207.9
1025,490.3467,207.5
1025,500.3333,207.1
1025,510.3200,206.8
1025,520.3067,206.5
1025,530.2933,206.2
1025,540.2800,205.9
1025,550.2667,205.6
1025,560.2533,205.3
1025,570.2400,205.2
1025,580.2267,206.0
1025,590.2133,206.8
1025,600.2000,207.7
1025,610.1867,208.6
1025,620.1733,209.4
1025,630.1600,210.3
1025,640.1467,211.3
1025,650.1333,212.2
1025,660.1200,213.1
1050,1.0000,9485.6
1050,10.9867,1042.9
1050,20.9733,640.0
1050,30.9600,496.8
1050,40.9467,423.3
1050,50.9333,378.5
1050,60.9200,348.3
1050,70.9067,326.5
1050,80.8933,310.0
1050,90.8800,297.0
1050,100.8667,286.6
1050,110.8533,277.9
1050,120.8400,270.7
1050,130.8267,264.5
1050,140.8133,259.1
1050,150.8000,254.4
1050,160.7867,250.3
1050,170.7733,246.6
1050,180.7600,243.3
1050,190.7467,240.3
1050,200.7333,237.5
1050,210.7200,235.0
1050,220.7067,232.7
1050,230.6933,230.6
1050,240.6800,228.6
1050,250.6667,226.7
1050,260.6533,225.0
1050,270.6400,223.4
1050,280.6267,221.8
1050,290.6133,220.4
1050,300.6000,219.0
1050,310.5867,217.9
1050,320.5733,217.0
1050,330.5600,216.2
1050,340.5467,215.4
1050,350.5333,214.7
1050,360.5200,214.0
1050,370.5067,213.3
1050,380.4933,212.7
1050,390.4800,212.1
1050,400.4667,211.5
1050,410.4533,211.0
1050,420.4400,210.5
1050,430.4267,210.0
1050,440.4133,209.5
1050,450.4000,209.1
1050,460.3867,208.7
1050,470.3733,208.3
1050,480.3600,207.9
1050,490.3467,207.5
1050,500.3333,207.1
1050,510.3200,206.8
1050,520.3067,206.5
1050,530.2933,206.1
1050,540.2800,205.8
1050,550.2667,205.5
1050,560.2533,205.3
1050,570.2400,205.0
1050,580.2267,205.2
1050,590.2133,206.0
1050,600.2000,206.8
1050,610.1867,207.6
1050,620.1733,208.5
1050,630.1600,209.4
1050,640.1467,210.3
1050,650.1333,211.2
1050,660.1200,212.1
1050,670.1067,213.0
1075,1.0000,9568.2
1075,10.9867,1050.2
1075,20.9733,643.8
1075,30.9600,499.3
1075,40.9467,425.2
1075,50.9333,380.0
1075,60.9200,349.5
1075,70.9067,327.5
1075,80.8933,310.9
1075,90.8800,297.8
1075,100.8667,287.3
1075,110.8533,278.6
1075,120.8400,271.3
1075,130.8267,265.0
1075,140.8133,259.6
1075,150.8000,254.9
1075,160.7867,250.7
1075,170.7733,247.0
1075,180.7600,243.6
1075,190.7467,240.6
1075,200.7333,237.9
1075,210.7200,235.3
1075,220.7067,233.0
1075,230.6933,230.9
1075,240.6800,228.9
1075,250.6667,227.0
1075,260.6533,225.3
1075,270.6400,223.6
1075,280.6267,222.1
1075,290.6133,220.6
1075,300.6000,219.3
1075,310.5867,218.0
1075,320.5733,217.1
1075,330.5600,216.3
1075,340.5467,215.5
1075,350.5333,214.7
1075,360.5200,214.0
1075,370.5067,213.4
1075,380.4933,212.7
1075,390.4800,212.1
1075,400.4667,211.6
1075,410.4533,211.0
1075,420.4400,210.5
1075,430.4267,210.0
1075,440.4133,209.6
1075,450.4000,209.1
1075,460.3867,208.7
1075,470.3733,208.3
1075,480.3600,207.9
1075,490.3467,207.5
1075,500.3333,207.1
1075,510.3200,206.8
1075,520.3067,206.5
1075,530.2933,206.1
1075,540.2800,205.8
1075,550.2667,205.5
1075,560.2533,205.2
1075,570.2400,205.0
1075,580.2267,204.7
1075,590.2133,205.2
1075,600.2000,206.0
1075,610.1867,206.8
1075,620.1733,207.6
1075,630.1600,208.5
1075,640.1467,209.3
1075,650.1333,210.2
1075,660.1200,211.1
1075,670.1067,212.0
1075,680.0933,212.9
1100,1.0000,9651.8
1100,10.9867,1057.7
1100,20.9733,647.6
1100,30.9600,501.9
1100,40.9467,427.1
1100,50.9333,381.5
1100,60.9200,350.8
1100,70.9067,328.6
1100,80.8933,311.8
1100,90.8800,298.6
1100,100.8667,288.0
1100,110.8533,279.2
1100,120.8400,271.9
1100,130.8267,265.6
1100,140.8133,260.1
1100,150.8000,255.4
1100,160.7867,251.2
1100,170.7733,247.4
1100,180.7600,244.0
1100,190.7467,241.0
1100,200.7333,238.2
1100,210.7200,235.7
1100,220.7067,233.3
1100,230.6933,231.2
1100,240.6800,229.2
1100,250.6667,227.3
1100,260.6533,225.5
1100,270.6400,223.9
1100,280.6267,222.3
1100,290.6133,220.9
1100,300.6000,219.5
1100,310.5867,218.2
1100,320.5733,217.2
1100,330.5600,216.4
1100,340.5467,215.6
1100,350.5333,214.8
1100,360.5200,214.1
1100,370.5067,213.4
1100,380.4933,212.8
1100,390.4800,212.2
1100,400.4667,211.6
1100,410.4533,211.1
1100,420.4400,210.6
1100,430.4267,210.1
1100,440.4133,209.6
1100,450.4000,209.1
1100,460.3867,208.7
1100,470.3733,208.3
1100,480.3600,207.9
1100,490.3467,207.5
1100,500.3333,207.1
1100,510.3200,206.8
1100,520.3067,206.5
1100,530.2933,206.1
1100,540.2800,205.8
1100,550.2667,205.5
1100,560.2533,205.2
1100,570.2400,204.9
1100,580.2267,204.7
1100,590.2133,204.4
1100,600.2000,205.1
1100,610.1867,205.9
1100,620.1733,206.7
1100,630.1600,207.6
1100,640.1467,208.4
1100,650.1333,209.3
1100,660.1200,210.1
1100,670.1067,211.0
1100,680.0933,211.9
1100,690.0800,212.9
1125,1.0000,9736.4
1125,10.9867,1065.3
1125,20.9733,651.6
1125,30.9600,504.5
1125,40.9467,429.0
1125,50.9333,383.0
1125,60.9200,352.0
1125,70.9067,329.7
1125,80.8933,312.7
1125,90.8800,299.4
1125,100.8667,288.7
1125,110.8533,279.9
1125,120.8400,272.5
1125,130.8267,266.1
1125,140.8133,260.6
1125,150.8000,255.9
1125,160.7867,251.6
1125,170.7733,247.8
1125,180.7600,244.4
1125,190.7467,241.4
1125,200.7333,238.6
1125,210.7200,236.0
1125,220.7067,233.7
1125,230.6933,231.5
1125,240.6800,229.5
1125,250.6667,227.6
1125,260.6533,225.8
1125,270.6400,224.2
1125,280.6267,222.6
1125,290.6133,221.1
1125,300.6000,219.8
1125,310.5867,218.4
1125,320.5733,217.3
1125,330.5600,216.5
1125,340.5467,215.7
1125,350.5333,214.9
1125,360.5200,214.2
1125,370.5067,213.5
1125,380.4933,212.9
1125,390.4800,212.3
1125,400.4667,211.7
1125,410.4533,211.1
1125,420.4400,210.6
1125,430.4267,210.1
1125,440.4133,209.6
1125,450.4000,209.2
1125,460.3867,208.7
1125,470.3733,208.3
1125,480.3600,207.9
1125,490.3467,207.5
1125,500.3333,207.2
1125,510.3200,206.8
1125,520.3067,206.5
1125,530.2933,206.1
1125,540.2800,205.8
1125,550.2667,205.5
1125,560.2533,205.2
1125,570.2400,204.9
1125,580.2267,204.7
1125,590.2133,204.4
1125,600.2000,204.4
1125,610.1867,205.1
1125,620.1733,205.9
1125,630.1600,206.7
1125,640.1467,207.5
1125,650.1333,208.4
1125,660.1200,209.2
1125,670.1067,210.1
1125,680.0933,211.0
1125,690.0800,211.9
1125,700.0667,212.8
1150,1.0000,9822.1
1150,10.9867,1073.0
1150,20.9733,655.5
1150,30.9600,507.2
1150,40.9467,431.0
1150,50.9333,384.6
1150,60.9200,353.3
1150,70.9067,330.8
1150,80.8933,313.7
1150,90.8800,300.3
1150,100.8667,289.5
1150,110.8533,280.6
1150,120.8400,273.1
1150,130.8267,266.7
1150,140.8133,261.2
1150,150.8000,256.3
1150,160.7867,252.1
1150,170.7733,248.3
1150,180.7600,244.8
1150,190.7467,241.8
1150,200.7333,238.9
1150,210.7200,236.4
1150,220.7067,234.0
1150,230.6933,231.8
1150,240.6800,229.8
1150,250.6667,227.9
1150,260.6533,226.1
1150,270.6400,224.5
1150,280.6267,222.9
1150,290.6133,221.4
1150,300.6000,220.0
1150,310.5867,218.7
1150,320.5733,217.4
1150,330.5600,216.6
1150,340.5467,215.8
1150,350.5333,215.0
1150,360.5200,214.3
1150,370.5067,213.6
1150,380.4933,213.0
1150,390.4800,212.3
1150,400.4667,211.8
1150,410.4533,211.2
1150,420.4400,210.7
1150,430.4267,210.2
1150,440.4133,209.7
1150,450.4000,209.2
1150,460.3867,208.8
1150,470.3733,208.4
1150,480.3600,208.0
1150,490.3467,207.6
1150,500.3333,207.2
1150,510.3200,206.8
1150,520.3067,206.5
1150,530.2933,206.2
1150,540.2800,205.8
1150,550.2667,205.5
1150,560.2533,205.2
1150,570.2400,205.0
1150,580.2267,204.7
1150,590.2133,204.4
1150,600.2000,204.2
1150,610.1867,204.4
1150,620.1733,205.1
