json_path,format,rendered
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/four_driveline_plus_accessories_plus_idle_in_drive/min,+.2f,-0.07
ruler_calibration/brackets/all_ruler_modelling_choices_pessimistic/VOLT-SUB/l_per_100km/median,.2f,24.62
ruler_calibration/brackets/all_ruler_modelling_choices_pessimistic/VOLT-REG/l_per_100km/median,.2f,20.54
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/all_ruler_modelling_choices_pessimistic/min,+.2f,+37.78
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/all_ruler_modelling_choices_pessimistic/min,+.2f,+0.13
ruler_calibration/brackets/CdA_5.4/VOLT-SUB/l_per_100km/median,.2f,19.90
ruler_calibration/brackets/CdA_5.4/VOLT-REG/l_per_100km/median,.2f,21.92
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/CdA_5.4/min,+.2f,+18.06
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/CdA_5.4/min,+.2f,-10.52
ruler_calibration/brackets/all_ruler_modelling_pessimistic_plus_CdA_5.4_road_change/VOLT-SUB/l_per_100km/median,.2f,25.38
ruler_calibration/brackets/all_ruler_modelling_pessimistic_plus_CdA_5.4_road_change/VOLT-REG/l_per_100km/median,.2f,23.72
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/all_ruler_modelling_pessimistic_plus_CdA_5.4_road_change/min,+.2f,+35.77
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/all_ruler_modelling_pessimistic_plus_CdA_5.4_road_change/min,+.2f,-2.15
ruler_calibration/brackets/r1_partial_reversal_plus_CdA_5.4_road_change/VOLT-SUB/l_per_100km/median,.2f,24.20
ruler_calibration/brackets/r1_partial_reversal_plus_CdA_5.4_road_change/VOLT-REG/l_per_100km/median,.2f,22.31
ruler_bracket_effect_on_margin/rows/V1_on_VOLT-SUB/r1_partial_reversal_plus_CdA_5.4_road_change/min,+.2f,+32.62
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/r1_partial_reversal_plus_CdA_5.4_road_change/min,+.2f,-8.57
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-SUB/headline_ruler_favourable/min,+.2f,+21.71
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-SUB/all_ruler_modelling_choices_pessimistic/min,+.2f,+39.06
interface_ws11/verdict_robustness/rows/V1_on_VOLT-SUB/headline_min,+.2f,+20.11
interface_ws11/verdict_robustness/rows/V1_on_VOLT-SUB/pessimistic_min,+.2f,+37.78
interface_ws11/verdict_robustness/rows/V2_on_VOLT-REG/pessimistic_min,+.2f,+0.13
interface_ws11/verdict_robustness/rows/V2_on_VOLT-REG/pessimistic_median,+.2f,+0.59
interface_ws11/verdict_robustness/rows/V2_on_VOLT-REG/shift_pp,.2f,7.84
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/four_driveline_plus_accessories_plus_idle_in_drive/min,+.2f,-0.07
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/four_driveline_plus_accessories_plus_idle_in_drive/median,+.2f,+0.40
ruler_bracket_effect_on_margin/rows/V2_on_VOLT-REG/CdA_5.4/min,+.2f,-10.52
mass_ledger/gvw_kg,",.0f","6,600"
mass_ledger/ruler_build/0/item,raw,"chassis-cab curb, 150 in WB"
mass_ledger/ruler_build/0/kg,raw,2985
mass_ledger/ruler_build/0/source,raw,"[SOURCED] GVWR 14,500 lb minus body/payload allowance interpolated to the 150 in wheelbase (7,920 lb)"
mass_ledger/ruler_build/1/item,raw,16 ft dry-freight body + subframe + rear door
mass_ledger/ruler_build/1/kg,raw,545
mass_ledger/ruler_build/1/source,raw,[WS11-DECLARED] reconciliation item to WS1's ratified operating curb
mass_ledger/ruler_build/2/item,raw,driver + kit
mass_ledger/ruler_build/2/kg,raw,90
mass_ledger/ruler_build/2/source,raw,[WS11-DECLARED]
mass_ledger/ruler_build/3/item,raw,"fuel to full (30 gal tank), increment over chassis tare"
mass_ledger/ruler_build/3/kg,raw,75
mass_ledger/ruler_build/3/source,raw,[WS11-DECLARED]
mass_ledger/ruler_build/4/item,raw,"DEF, tools, spare"
mass_ledger/ruler_build/4/kg,raw,5
mass_ledger/ruler_build/4/source,raw,[WS11-DECLARED]
mass_ledger/totals/ruler/curb_kg,.0f,3700
mass_ledger/totals/ruler/payload_at_gvw_kg,.0f,2900
mass_ledger/chassis_cab_curb_derivation/allowance_range_lb/0,",.0f","7,545"
mass_ledger/chassis_cab_curb_derivation/allowance_range_lb/1,",.0f","8,511"
mass_ledger/chassis_cab_curb_derivation/wheelbase_in,.0f,150
mass_ledger/chassis_cab_curb_derivation/allowance_lb_at_wheelbase,.0f,7920
mass_ledger/chassis_cab_curb_derivation/chassis_cab_curb_kg,.2f,2984.70
ruler_chassis_cab_cross_check/tag_correction,raw,"[SOURCED-RANGE, INTERPOLATED IN WHEELBASE]"
ruler_chassis_cab_cross_check/za_cross_check/tare_total_kg,.0f,2620
ruler_chassis_cab_cross_check/za_cross_check/wheelbase_mm,.0f,3815
ruler_chassis_cab_cross_check/ruler_operating_curb_sensitivity/rows/V2_on_VOLT-REG/+100kg/shift_pp,.2f,-0.69
ruler_chassis_cab_cross_check/ruler_operating_curb_sensitivity/rows/V1_on_VOLT-SUB/+100kg/shift_pp,.2f,-0.20
mass_ledger/totals/ruler/curb_kg,.0f,3700
mass_ledger/totals/V1/curb_kg,.0f,3888
mass_ledger/totals/V2/curb_kg,.0f,4139
mass_ledger/totals/ruler/payload_at_gvw_kg,.0f,2900
mass_ledger/totals/V1/payload_at_gvw_kg,.0f,2712
mass_ledger/totals/V2/payload_at_gvw_kg,.0f,2461
one_factor/rows/V1_on_VOLT-SUB/mass_payload_denominator/curb_delta_kg,.0f,188
one_factor/rows/V2_on_VOLT-REG/mass_payload_denominator/curb_delta_kg,.0f,439
mass_ledger/payload_ratio_ruler_over_candidate/V1,.6f,1.069322
mass_ledger/payload_ratio_ruler_over_candidate/V2,.6f,1.178383
mass_ledger/break_even_per_km_advantage_pct/V1,.2f,6.48
mass_ledger/break_even_per_km_advantage_pct/V2,.2f,15.14
mass_ledger/deleted_by_both_candidates/0/item,raw,Aisin A465id 6-speed AT + torque converter + fluid
mass_ledger/deleted_by_both_candidates/0/kg,raw,227
mass_ledger/deleted_by_both_candidates/1/item,raw,transmission oil cooler + lines
mass_ledger/deleted_by_both_candidates/1/kg,raw,5
mass_ledger/deleted_by_both_candidates/2/item,raw,"alternator, 140 A"
mass_ledger/deleted_by_both_candidates/2/kg,raw,10
mass_ledger/deleted_by_both_candidates/3/item,raw,starter motor + solenoid
mass_ledger/deleted_by_both_candidates/3/kg,raw,8
mass_ledger/v2_aftertreatment_bracket_kg,.0f,60
mass_ledger/totals/V2_aftertreatment_bracket/curb_kg,.0f,4199
mass_ledger/totals/V2_aftertreatment_bracket/payload_at_gvw_kg,.0f,2401
mass_ledger/break_even_per_km_advantage_pct/V2_aftertreatment_bracket,.2f,17.21
v2_aftertreatment_bracket_effect/rows/V2_on_VOLT-REG/margin_headline_min,+.2f,-7.93
v2_aftertreatment_bracket_effect/rows/V2_on_VOLT-REG/margin_pct_per_payload_tkm_paired/min,+.2f,-10.62
v2_aftertreatment_bracket_effect/rows/V2_on_VOLT-REG/shift_pp,.2f,-2.70
v2_aftertreatment_bracket_effect/pct_of_v2_payload,.2f,2.44
break_even_curb/V1_on_VOLT-SUB/actual_curb_kg,.0f,3888
break_even_curb/V1_on_VOLT-SUB/break_even_curb_kg/min,.0f,4433
break_even_curb/V1_on_VOLT-SUB/headroom_kg_worst,+.0f,+545
break_even_curb/V2_on_VOLT-REG/actual_curb_kg,.0f,4139
break_even_curb/V2_on_VOLT-REG/break_even_curb_kg/min,.0f,3944
break_even_curb/V2_on_VOLT-REG/headroom_kg_worst,+.0f,-195
break_even_curb/V1_on_VOLT-SUB/headroom_kg_worst,.0f,545
break_even_curb/V2_on_VOLT-REG/headroom_kg_worst,.0f,-195
results/V1_on_VOLT-SUB/nominal/ruler/per_km/median,.4f,1.8969
results/V1_on_VOLT-SUB/nominal/candidate/per_km/median,.4f,1.4051
results/V1_on_VOLT-SUB/nominal/margin_pct_per_km_paired/min,+.2f,+25.29
results/V1_on_VOLT-SUB/nominal/margin_pct_per_km_paired/median,+.2f,+25.96
results/V1_on_VOLT-SUB/nominal/margin_pct_per_km_paired/max,+.2f,+26.24
results/V1_on_VOLT-SUB/nominal/margin_pct_per_payload_tkm_paired/min,+.2f,+20.11
results/V1_on_VOLT-SUB/nominal/margin_pct_per_payload_tkm_paired/median,+.2f,+20.83
results/V1_on_VOLT-SUB/nominal/margin_pct_per_payload_tkm_paired/max,+.2f,+21.13
results/V1_on_VOLT-SUB/payload_p20/ruler/per_km/median,.4f,1.9775
results/V1_on_VOLT-SUB/payload_p20/candidate/per_km/median,.4f,1.5132
results/V1_on_VOLT-SUB/payload_p20/margin_pct_per_km_paired/min,+.2f,+22.84
results/V1_on_VOLT-SUB/payload_p20/margin_pct_per_km_paired/median,+.2f,+23.34
results/V1_on_VOLT-SUB/payload_p20/margin_pct_per_km_paired/max,+.2f,+23.91
results/V1_on_VOLT-SUB/payload_p20/margin_pct_per_payload_tkm_paired/min,+.2f,+22.84
results/V1_on_VOLT-SUB/payload_p20/margin_pct_per_payload_tkm_paired/median,+.2f,+23.34
results/V1_on_VOLT-SUB/payload_p20/margin_pct_per_payload_tkm_paired/max,+.2f,+23.91
results/V1_on_VOLT-SUB/payload_m20/ruler/per_km/median,.4f,1.8165
results/V1_on_VOLT-SUB/payload_m20/candidate/per_km/median,.4f,1.3528
results/V1_on_VOLT-SUB/payload_m20/margin_pct_per_km_paired/min,+.2f,+24.66
results/V1_on_VOLT-SUB/payload_m20/margin_pct_per_km_paired/median,+.2f,+25.44
results/V1_on_VOLT-SUB/payload_m20/margin_pct_per_km_paired/max,+.2f,+25.61
results/V1_on_VOLT-SUB/payload_m20/margin_pct_per_payload_tkm_paired/min,+.2f,+24.66
results/V1_on_VOLT-SUB/payload_m20/margin_pct_per_payload_tkm_paired/median,+.2f,+25.44
results/V1_on_VOLT-SUB/payload_m20/margin_pct_per_payload_tkm_paired/max,+.2f,+25.61
results/V1_on_VOLT-SUB/cold_-10C/ruler/per_km/median,.4f,1.9266
results/V1_on_VOLT-SUB/cold_-10C/candidate/per_km/median,.4f,1.4467
results/V1_on_VOLT-SUB/cold_-10C/margin_pct_per_km_paired/min,+.2f,+24.37
results/V1_on_VOLT-SUB/cold_-10C/margin_pct_per_km_paired/median,+.2f,+25.01
results/V1_on_VOLT-SUB/cold_-10C/margin_pct_per_km_paired/max,+.2f,+25.25
results/V1_on_VOLT-SUB/cold_-10C/margin_pct_per_payload_tkm_paired/min,+.2f,+19.12
results/V1_on_VOLT-SUB/cold_-10C/margin_pct_per_payload_tkm_paired/median,+.2f,+19.81
results/V1_on_VOLT-SUB/cold_-10C/margin_pct_per_payload_tkm_paired/max,+.2f,+20.07
results/V1_on_VOLT-SUB/alt2000m_45C/ruler/per_km/median,.4f,1.8282
results/V1_on_VOLT-SUB/alt2000m_45C/candidate/per_km/median,.4f,1.3161
results/V1_on_VOLT-SUB/alt2000m_45C/margin_pct_per_km_paired/min,+.2f,+27.31
results/V1_on_VOLT-SUB/alt2000m_45C/margin_pct_per_km_paired/median,+.2f,+28.02
results/V1_on_VOLT-SUB/alt2000m_45C/margin_pct_per_km_paired/max,+.2f,+28.12
results/V1_on_VOLT-SUB/alt2000m_45C/margin_pct_per_payload_tkm_paired/min,+.2f,+22.27
results/V1_on_VOLT-SUB/alt2000m_45C/margin_pct_per_payload_tkm_paired/median,+.2f,+23.03
results/V1_on_VOLT-SUB/alt2000m_45C/margin_pct_per_payload_tkm_paired/max,+.2f,+23.14
results/V1_on_VOLT-SUB/nominal/ruler/l_per_100km/median,.2f,19.18
results/V1_on_VOLT-SUB/nominal/candidate/l_per_100km/median,.2f,14.20
results/V2_on_VOLT-REG/nominal/ruler/per_km/median,.4f,1.8827
results/V2_on_VOLT-REG/nominal/candidate/per_km/median,.4f,1.7154
results/V2_on_VOLT-REG/nominal/margin_pct_per_km_paired/min,+.2f,+8.41
results/V2_on_VOLT-REG/nominal/margin_pct_per_km_paired/median,+.2f,+8.96
results/V2_on_VOLT-REG/nominal/margin_pct_per_km_paired/max,+.2f,+9.25
results/V2_on_VOLT-REG/nominal/margin_pct_per_payload_tkm_paired/min,+.2f,-7.93
results/V2_on_VOLT-REG/nominal/margin_pct_per_payload_tkm_paired/median,+.2f,-7.27
results/V2_on_VOLT-REG/nominal/margin_pct_per_payload_tkm_paired/max,+.2f,-6.93
results/V2_on_VOLT-REG/payload_p20/ruler/per_km/median,.4f,1.9307
results/V2_on_VOLT-REG/payload_p20/candidate/per_km/median,.4f,1.8076
results/V2_on_VOLT-REG/payload_p20/margin_pct_per_km_paired/min,+.2f,+6.27
results/V2_on_VOLT-REG/payload_p20/margin_pct_per_km_paired/median,+.2f,+6.38
results/V2_on_VOLT-REG/payload_p20/margin_pct_per_km_paired/max,+.2f,+6.55
results/V2_on_VOLT-REG/payload_p20/margin_pct_per_payload_tkm_paired/min,+.2f,+6.27
results/V2_on_VOLT-REG/payload_p20/margin_pct_per_payload_tkm_paired/median,+.2f,+6.38
results/V2_on_VOLT-REG/payload_p20/margin_pct_per_payload_tkm_paired/max,+.2f,+6.55
results/V2_on_VOLT-REG/payload_m20/ruler/per_km/median,.4f,1.8364
results/V2_on_VOLT-REG/payload_m20/candidate/per_km/median,.4f,1.7014
results/V2_on_VOLT-REG/payload_m20/margin_pct_per_km_paired/min,+.2f,+7.21
results/V2_on_VOLT-REG/payload_m20/margin_pct_per_km_paired/median,+.2f,+7.27
results/V2_on_VOLT-REG/payload_m20/margin_pct_per_km_paired/max,+.2f,+7.58
results/V2_on_VOLT-REG/payload_m20/margin_pct_per_payload_tkm_paired/min,+.2f,+7.21
results/V2_on_VOLT-REG/payload_m20/margin_pct_per_payload_tkm_paired/median,+.2f,+7.27
results/V2_on_VOLT-REG/payload_m20/margin_pct_per_payload_tkm_paired/max,+.2f,+7.58
results/V2_on_VOLT-REG/cold_-10C/ruler/per_km/median,.4f,1.9976
results/V2_on_VOLT-REG/cold_-10C/candidate/per_km/median,.4f,1.8413
results/V2_on_VOLT-REG/cold_-10C/margin_pct_per_km_paired/min,+.2f,+7.69
results/V2_on_VOLT-REG/cold_-10C/margin_pct_per_km_paired/median,+.2f,+7.86
results/V2_on_VOLT-REG/cold_-10C/margin_pct_per_km_paired/max,+.2f,+8.21
results/V2_on_VOLT-REG/cold_-10C/margin_pct_per_payload_tkm_paired/min,+.2f,-8.77
results/V2_on_VOLT-REG/cold_-10C/margin_pct_per_payload_tkm_paired/median,+.2f,-8.58
results/V2_on_VOLT-REG/cold_-10C/margin_pct_per_payload_tkm_paired/max,+.2f,-8.17
results/V2_on_VOLT-REG/alt2000m_45C/ruler/per_km/median,.4f,1.6202
results/V2_on_VOLT-REG/alt2000m_45C/candidate/per_km/median,.4f,1.4218
results/V2_on_VOLT-REG/alt2000m_45C/margin_pct_per_km_paired/min,+.2f,+12.15
results/V2_on_VOLT-REG/alt2000m_45C/margin_pct_per_km_paired/median,+.2f,+12.24
results/V2_on_VOLT-REG/alt2000m_45C/margin_pct_per_km_paired/max,+.2f,+12.42
results/V2_on_VOLT-REG/alt2000m_45C/margin_pct_per_payload_tkm_paired/min,+.2f,-3.52
results/V2_on_VOLT-REG/alt2000m_45C/margin_pct_per_payload_tkm_paired/median,+.2f,-3.42
results/V2_on_VOLT-REG/alt2000m_45C/margin_pct_per_payload_tkm_paired/max,+.2f,-3.20
results/V2_on_VOLT-REG/climb_10km_6pct/ruler/per_km/median,.4f,2.1117
results/V2_on_VOLT-REG/climb_10km_6pct/candidate/per_km/median,.4f,1.9639
results/V2_on_VOLT-REG/climb_10km_6pct/margin_pct_per_km_paired/min,+.2f,+6.67
results/V2_on_VOLT-REG/climb_10km_6pct/margin_pct_per_km_paired/median,+.2f,+7.04
results/V2_on_VOLT-REG/climb_10km_6pct/margin_pct_per_km_paired/max,+.2f,+7.27
results/V2_on_VOLT-REG/climb_10km_6pct/margin_pct_per_payload_tkm_paired/min,+.2f,-9.98
results/V2_on_VOLT-REG/climb_10km_6pct/margin_pct_per_payload_tkm_paired/median,+.2f,-9.55
results/V2_on_VOLT-REG/climb_10km_6pct/margin_pct_per_payload_tkm_paired/max,+.2f,-9.27
results/V2_on_VOLT-REG/nominal/ruler/l_per_100km/median,.2f,19.03
results/V2_on_VOLT-REG/nominal/candidate/l_per_100km/median,.2f,17.34
results/V2_on_VOLT-SUB/nominal/ruler/per_km/median,.4f,1.8969
results/V2_on_VOLT-SUB/nominal/candidate/per_km/median,.4f,1.2544
results/V2_on_VOLT-SUB/nominal/margin_pct_per_km_paired/min,+.2f,+33.56
results/V2_on_VOLT-SUB/nominal/margin_pct_per_km_paired/median,+.2f,+33.87
results/V2_on_VOLT-SUB/nominal/margin_pct_per_km_paired/max,+.2f,+34.05
results/V2_on_VOLT-SUB/nominal/margin_pct_per_payload_tkm_paired/min,+.2f,+21.71
results/V2_on_VOLT-SUB/nominal/margin_pct_per_payload_tkm_paired/median,+.2f,+22.07
results/V2_on_VOLT-SUB/nominal/margin_pct_per_payload_tkm_paired/max,+.2f,+22.29
results/V2_on_VOLT-SUB/payload_p20/ruler/per_km/median,.4f,1.9775
results/V2_on_VOLT-SUB/payload_p20/candidate/per_km/median,.4f,1.3740
results/V2_on_VOLT-SUB/payload_p20/margin_pct_per_km_paired/min,+.2f,+30.00
results/V2_on_VOLT-SUB/payload_p20/margin_pct_per_km_paired/median,+.2f,+30.56
results/V2_on_VOLT-SUB/payload_p20/margin_pct_per_km_paired/max,+.2f,+30.92
results/V2_on_VOLT-SUB/payload_p20/margin_pct_per_payload_tkm_paired/min,+.2f,+30.00
results/V2_on_VOLT-SUB/payload_p20/margin_pct_per_payload_tkm_paired/median,+.2f,+30.56
results/V2_on_VOLT-SUB/payload_p20/margin_pct_per_payload_tkm_paired/max,+.2f,+30.92
results/V2_on_VOLT-SUB/payload_m20/ruler/per_km/median,.4f,1.8165
results/V2_on_VOLT-SUB/payload_m20/candidate/per_km/median,.4f,1.2385
results/V2_on_VOLT-SUB/payload_m20/margin_pct_per_km_paired/min,+.2f,+31.51
results/V2_on_VOLT-SUB/payload_m20/margin_pct_per_km_paired/median,+.2f,+31.81
