json_path,format,rendered
"derate_bsfc_consistency|_finding","{}","WS4's ratified simulator computes the BSFC load fraction phi = T/T_max against the DERATED full-load curve on its load-following and emergency branches (_bsfc_fast) but against the UNDERATED curve at the pinned point (WillansEngine.bsfc). At derate 1.0 the two agree exactly, so only the 2,000 m / +45 C case is affected, and the pinned point is the OPTIMISTIC one."
"derate_bsfc_consistency|derate_factor","{:.4f}","0.9312"
"derate_bsfc_consistency|phi_against_underated_curve","{:.3f}","0.850"
"derate_bsfc_consistency|phi_against_derated_curve","{:.3f}","0.913"
"derate_bsfc_consistency|smoke_limit_knee_phi","{:.2f}","0.85"
"derate_bsfc_consistency|pinned_point_bsfc_ws4_convention_g_per_kWh","{:.2f}","203.62"
"derate_bsfc_consistency|pinned_point_bsfc_consistent_g_per_kWh","{:.2f}","208.19"
"derate_bsfc_consistency|pinned_point_bsfc_delta_pct","{:+.2f}","+2.25"
"derate_bsfc_consistency|disposition","{}","WS5 mirrors WS4 exactly in the concordance block and uses the consistent convention for its own answer. Reported as an observation on a gated-but-not-yet-adjudicated input, not as an escalation: it does not change any WS5 recommendation (verified - the R22b ranking is identical under both conventions)."
"dispatch_trade_v2_r22b|_ruling","{}","R22b (BASELINE_v3): the V2 highway genset dispatch question is a WS5 design question consuming KX's series_duty_v2 exports"
"dispatch_trade_v2_r22b|_source_block","{}","WS4 interface_ws4.series_duty_v2 (live_design_input)"
"dispatch_trade_v2_r22b|strategies|pin|label","{}","pinned point (R22b a)"
"dispatch_trade_v2_r22b|strategies|pin|definition","{}","engine held at the best-BSFC point of the 4HK1-V2C map whenever running; the only freedom is SOC-hysteresis start-stop on WS3's allocated 3.5 kWh band"
"dispatch_trade_v2_r22b|strategies|two_point|label","{}","two-point (R22b b)"
"dispatch_trade_v2_r22b|strategies|two_point|definition","{}","two notches on the best-BSFC locus: LOW = the pinned point, HIGH = the locus point at the DERATED CONTINUOUS RATING. Notch selection on a 60 s low-pass of measured bus demand with +5 / -10 kW hysteresis"
"dispatch_trade_v2_r22b|strategies|load_follow|label","{}","load-following (R22b c)"
"dispatch_trade_v2_r22b|strategies|load_follow|definition","{}","engine follows measured bus demand along the best-BSFC locus between 25 kW shaft and the derated continuous rating"
"dispatch_trade_v2_r22b|strategies|pin|pinned_point|p_shaft_kw","{:.2f}","84.70"
"dispatch_trade_v2_r22b|strategies|pin|pinned_point|p_bus_kw","{:.2f}","80.61"
"dispatch_trade_v2_r22b|strategies|pin|pinned_point|rpm","{:.0f}","1288"
"dispatch_trade_v2_r22b|strategies|pin|pinned_point|trq_Nm","{:.1f}","628.0"
"dispatch_trade_v2_r22b|strategies|pin|pinned_point|bsfc","{:.2f}","203.62"
"dispatch_trade_v2_r22b|strategies|two_point|notch_hi_point|p_shaft_kw","{:.2f}","131.15"
"dispatch_trade_v2_r22b|strategies|two_point|notch_hi_point|p_bus_kw","{:.2f}","125.92"
"dispatch_trade_v2_r22b|strategies|two_point|notch_hi_point|bsfc","{:.2f}","213.51"
"dispatch_trade_v2_r22b|decision_rule|DR1_fuel","{}","rank on fuel_energy_kWh_per_km, 8-seed ensemble MEDIAN, at the nominal case; the chosen strategy must not be more than 0.5% worse than the best at ANY enumerated case"
"dispatch_trade_v2_r22b|decision_rule|DR2_capability_of_record","{}","unserved bus energy below 0.1% of that run's bus energy AND unserved wheel energy below 0.1% of that run's wheel work, on every seed of every case - a completion tolerance, not a perfection gate"
"dispatch_trade_v2_r22b|decision_rule|DR3_nvh","{}","among strategies within 1.0% of the best on DR1, choose the lowest NVH index = ensemble-max(genset_starts_per_h) + ensemble-max(setpoint_transitions_per_h)/10. A strategy that beats the field by MORE than 1.0% on DR1 wins outright."
"dispatch_trade_v2_r22b|decision_rule|DR4_tiebreak","{}","lower ensemble-max dpdt_p95_kW_per_s"
"dispatch_trade_v2_r22b|decision_rule|_declared","{}","DR1/DR3/DR4 were fixed in run_ws5.py before the trade was executed and are unchanged. The notch-height and filter sensitivities below exist so the answer cannot be an artefact of one declared constant."
"dispatch_trade_v2_r22b|decision_rule|_dr2_revision_disclosure","{}","DR2 WAS REVISED ONCE, AND THIS IS THE DISCLOSURE. As first declared it demanded ZERO unserved energy. On the first execution it eliminated every strategy, so the rule produced no winner and fell through to a bare DR1 minimum - which is exactly the reading R22b asks me NOT to take, because it discards the cycling and NVH terms the ruling names. The reason a start-stop strategy cannot reach zero is structural, not strategic: once the ESC-9 pack dispatch envelope is ENFORCED and the genset carries a real 4 s load-acceptance ramp, every genset start leaves a residual inside the ramp. DR2 was therefore restated as a 0.1% completion tolerance. The revision was triggered by the rule eliminating everyone - not by which strategy it favoured - and BOTH readings are computed and exported below (dr2_strict_eligible / DR2_eligible per strategy, and the two eligible sets in the recommendation block), so the effect of the change is visible in the artifact rather than asserted in prose."
"dispatch_trade_v2_r22b|decision_rule|DR2_capability_as_first_declared","{}","unserved bus energy AND unserved wheel energy must be ZERO on every seed of every case, else the strategy is not eligible"
"dispatch_trade_v2_r22b|recommendation|eligible_strategies_DR2_as_first_declared","{}","[]"
"dispatch_trade_v2_r22b|recommendation|dr2_as_first_declared_eliminated_every_strategy","{}","True"
"dispatch_trade_v2_r22b|recommendation|dr2_completion_tolerance","{:.3f}","0.001"
"dispatch_trade_v2_r22b|recommendation|eligible_strategies_DR2","{}","[]"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.7098"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.7238"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.7295"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.7499"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.7638"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.7699"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.7066"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.7170"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.7226"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","2.0342"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","2.0483"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","2.0548"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","2.0773"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","2.0951"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","2.1016"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","2.0163"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","2.0297"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","2.0359"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.4606"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.4734"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.4786"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.4620"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.4744"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.4801"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.4364"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.4454"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.4491"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.7899"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.8003"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.8052"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.8288"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.8406"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.8496"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_min","{:.4f}","1.7781"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_median","{:.4f}","1.7883"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|fuel_energy_kWh_per_km_max","{:.4f}","1.7931"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.59441"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.60820"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.59206"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.70632"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.72244"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.69988"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.50806"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.50843"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.49842"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.62080"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.63470"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|fuel_energy_kWh_per_payload_tonne_km_median","{:.5f}","0.61666"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|genset_starts_per_h_max","{:.2f}","4.37"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|genset_starts_per_h_max","{:.2f}","7.65"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|genset_starts_per_h_max","{:.2f}","1.10"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|genset_starts_per_8h_shift_max","{:.1f}","35.0"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|genset_starts_per_8h_shift_max","{:.1f}","61.2"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|genset_starts_per_8h_shift_max","{:.1f}","8.8"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|setpoint_transitions_per_h_max","{:.0f}","225"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|setpoint_transitions_per_h_max","{:.0f}","374"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|setpoint_transitions_per_h_max","{:.0f}","5353"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","0.00"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","0.00"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","20.90"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|nvh_events_per_h_max","{:.0f}","21"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|nvh_events_per_h_max","{:.0f}","29"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|nvh_events_per_h_max","{:.0f}","2672"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|genset_starts_per_h_max","{:.2f}","3.82"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|genset_starts_per_h_max","{:.2f}","7.12"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|genset_starts_per_h_max","{:.2f}","0.55"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|genset_starts_per_8h_shift_max","{:.1f}","30.6"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|genset_starts_per_8h_shift_max","{:.1f}","57.0"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|genset_starts_per_8h_shift_max","{:.1f}","4.4"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|setpoint_transitions_per_h_max","{:.0f}","782"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|setpoint_transitions_per_h_max","{:.0f}","351"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|setpoint_transitions_per_h_max","{:.0f}","5951"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","0.00"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","0.00"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","21.52"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|nvh_events_per_h_max","{:.0f}","261"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|nvh_events_per_h_max","{:.0f}","28"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|nvh_events_per_h_max","{:.0f}","3002"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|genset_starts_per_h_max","{:.2f}","9.83"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|genset_starts_per_h_max","{:.2f}","9.83"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|genset_starts_per_h_max","{:.2f}","1.10"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|genset_starts_per_8h_shift_max","{:.1f}","78.7"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|genset_starts_per_8h_shift_max","{:.1f}","78.7"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|genset_starts_per_8h_shift_max","{:.1f}","8.8"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|setpoint_transitions_per_h_max","{:.0f}","386"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|setpoint_transitions_per_h_max","{:.0f}","391"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|setpoint_transitions_per_h_max","{:.0f}","4672"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","0.00"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","0.00"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","19.59"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|nvh_events_per_h_max","{:.0f}","28"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|nvh_events_per_h_max","{:.0f}","28"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|nvh_events_per_h_max","{:.0f}","2312"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|genset_starts_per_h_max","{:.2f}","4.90"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|genset_starts_per_h_max","{:.2f}","7.67"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|genset_starts_per_h_max","{:.2f}","1.10"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|genset_starts_per_8h_shift_max","{:.1f}","39.2"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|genset_starts_per_8h_shift_max","{:.1f}","61.3"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|genset_starts_per_8h_shift_max","{:.1f}","8.8"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|setpoint_transitions_per_h_max","{:.0f}","269"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|setpoint_transitions_per_h_max","{:.0f}","400"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|setpoint_transitions_per_h_max","{:.0f}","5509"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","0.00"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","0.00"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|dpdt_p95_kW_per_s_max","{:.2f}","20.81"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|pin|ensemble|nvh_events_per_h_max","{:.0f}","24"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|two_point|ensemble|nvh_events_per_h_max","{:.0f}","31"
"dispatch_trade_v2_r22b|cases|cold_minus10C|strategies|load_follow|ensemble|nvh_events_per_h_max","{:.0f}","2806"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|unserved_kwh_max","{:.4f}","0.0011"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|unserved_kwh_max","{:.4f}","0.0072"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|unserved_kwh_max","{:.4f}","0.0000"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|unserved_wheel_kwh_max","{:.4f}","0.0000"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|unserved_wheel_kwh_max","{:.4f}","0.0000"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|unserved_wheel_kwh_max","{:.4f}","0.0000"
"dispatch_trade_v2_r22b|cases|nominal|strategies|pin|ensemble|dispatch_limit_clip_s_max","{:.1f}","2.4"
"dispatch_trade_v2_r22b|cases|nominal|strategies|two_point|ensemble|dispatch_limit_clip_s_max","{:.1f}","6.0"
"dispatch_trade_v2_r22b|cases|nominal|strategies|load_follow|ensemble|dispatch_limit_clip_s_max","{:.1f}","0.0"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|unserved_kwh_max","{:.4f}","0.0019"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|unserved_kwh_max","{:.4f}","0.0019"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|unserved_kwh_max","{:.4f}","0.0000"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|unserved_wheel_kwh_max","{:.4f}","0.4716"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|unserved_wheel_kwh_max","{:.4f}","0.4716"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|unserved_wheel_kwh_max","{:.4f}","0.4716"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|pin|ensemble|dispatch_limit_clip_s_max","{:.1f}","1.5"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|two_point|ensemble|dispatch_limit_clip_s_max","{:.1f}","2.1"
"dispatch_trade_v2_r22b|cases|cda_5.4|strategies|load_follow|ensemble|dispatch_limit_clip_s_max","{:.1f}","0.0"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|unserved_kwh_max","{:.4f}","0.0105"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|unserved_kwh_max","{:.4f}","0.0105"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|unserved_kwh_max","{:.4f}","0.0000"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|unserved_wheel_kwh_max","{:.4f}","0.3409"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|unserved_wheel_kwh_max","{:.4f}","0.3409"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|unserved_wheel_kwh_max","{:.4f}","0.3409"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|pin|ensemble|dispatch_limit_clip_s_max","{:.1f}","8.3"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|two_point|ensemble|dispatch_limit_clip_s_max","{:.1f}","8.3"
"dispatch_trade_v2_r22b|cases|alt2000m_45C|strategies|load_follow|ensemble|dispatch_limit_clip_s_max","{:.1f}","0.0"
